"IDreserva","IDusuario","IDatraccion","FechaHora","NumPersonas","IDMetodoPago","CreatedAt","UpdatedAt"
113,93,28,2024-07-10 22:27:44,1,2,2024-06-25 22:27:44,2024-06-25 22:27:44
114,62,15,2024-07-09 22:27:44,1,2,2024-06-25 22:27:44,2024-06-25 22:27:44
115,10,19,2024-07-13 22:27:44,4,3,2024-06-25 22:27:44,2024-06-25 22:27:44
116,71,11,2024-07-11 22:27:44,8,1,2024-06-25 22:27:44,2024-06-25 22:27:44
117,59,13,2024-07-01 22:27:44,9,2,2024-06-25 22:27:44,2024-06-25 22:27:44
118,51,24,2024-06-27 22:27:44,3,3,2024-06-25 22:27:44,2024-06-25 22:27:44
119,75,3,2024-06-29 22:27:44,6,1,2024-06-25 22:27:44,2024-06-25 22:27:44
120,19,16,2024-07-19 22:27:44,7,2,2024-06-25 22:27:44,2024-06-25 22:27:44
121,24,12,2024-06-26 22:27:44,2,2,2024-06-25 22:27:44,2024-06-25 22:27:44
122,56,32,2024-07-04 22:27:44,6,3,2024-06-25 22:27:44,2024-06-25 22:27:44
123,10,19,2024-07-13 22:27:44,4,1,2024-06-25 22:27:44,2024-06-25 22:27:44
124,97,25,2024-07-21 22:27:44,2,1,2024-06-25 22:27:44,2024-06-25 22:27:44
125,74,30,2024-07-06 22:27:44,2,2,2024-06-25 22:27:44,2024-06-25 22:27:44
126,67,5,2024-07-16 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
127,95,22,2024-07-09 22:27:44,5,3,2024-06-25 22:27:44,2024-06-25 22:27:44
128,18,3,2024-07-22 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
129,25,14,2024-07-05 22:27:44,5,1,2024-06-25 22:27:44,2024-06-25 22:27:44
130,58,11,2024-07-24 22:27:44,9,2,2024-06-25 22:27:44,2024-06-25 22:27:44
131,49,6,2024-07-07 22:27:44,6,1,2024-06-25 22:27:44,2024-06-25 22:27:44
132,13,20,2024-07-17 22:27:44,9,1,2024-06-25 22:27:44,2024-06-25 22:27:44
133,14,7,2024-07-12 22:27:44,3,3,2024-06-25 22:27:44,2024-06-25 22:27:44
134,92,9,2024-07-14 22:27:44,5,1,2024-06-25 22:27:44,2024-06-25 22:27:44
135,25,31,2024-06-26 22:27:44,5,3,2024-06-25 22:27:44,2024-06-25 22:27:44
136,44,11,2024-07-06 22:27:44,9,1,2024-06-25 22:27:44,2024-06-25 22:27:44
137,69,21,2024-06-29 22:27:44,9,3,2024-06-25 22:27:44,2024-06-25 22:27:44
138,87,20,2024-07-09 22:27:44,6,1,2024-06-25 22:27:44,2024-06-25 22:27:44
139,29,30,2024-07-19 22:27:44,3,3,2024-06-25 22:27:44,2024-06-25 22:27:44
140,26,28,2024-07-13 22:27:44,5,2,2024-06-25 22:27:44,2024-06-25 22:27:44
141,46,7,2024-07-16 22:27:44,10,2,2024-06-25 22:27:44,2024-06-25 22:27:44
142,34,15,2024-07-02 22:27:44,10,3,2024-06-25 22:27:44,2024-06-25 22:27:44
143,5,9,2024-07-01 22:27:44,4,1,2024-06-25 22:27:44,2024-06-25 22:27:44
144,99,30,2024-07-16 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
145,100,23,2024-07-09 22:27:44,4,2,2024-06-25 22:27:44,2024-06-25 22:27:44
146,30,31,2024-07-23 22:27:44,9,2,2024-06-25 22:27:44,2024-06-25 22:27:44
147,53,13,2024-07-04 22:27:44,5,2,2024-06-25 22:27:44,2024-06-25 22:27:44
148,50,11,2024-06-29 22:27:44,9,3,2024-06-25 22:27:44,2024-06-25 22:27:44
149,92,17,2024-07-19 22:27:44,6,1,2024-06-25 22:27:44,2024-06-25 22:27:44
150,30,31,2024-07-20 22:27:44,4,2,2024-06-25 22:27:44,2024-06-25 22:27:44
151,3,27,2024-07-24 22:27:44,5,2,2024-06-25 22:27:44,2024-06-25 22:27:44
152,9,29,2024-06-29 22:27:44,2,2,2024-06-25 22:27:44,2024-06-25 22:27:44
153,26,8,2024-07-05 22:27:44,1,1,2024-06-25 22:27:44,2024-06-25 22:27:44
154,33,14,2024-06-28 22:27:44,4,1,2024-06-25 22:27:44,2024-06-25 22:27:44
155,51,21,2024-07-13 22:27:44,2,1,2024-06-25 22:27:44,2024-06-25 22:27:44
156,13,6,2024-07-11 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
157,60,20,2024-07-01 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
158,28,19,2024-06-25 22:27:44,4,3,2024-06-25 22:27:44,2024-06-25 22:27:44
159,61,26,2024-07-02 22:27:44,9,2,2024-06-25 22:27:44,2024-06-25 22:27:44
160,66,31,2024-07-19 22:27:44,3,3,2024-06-25 22:27:44,2024-06-25 22:27:44
161,26,27,2024-07-08 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
162,73,15,2024-06-25 22:27:44,8,3,2024-06-25 22:27:44,2024-06-25 22:27:44
163,19,7,2024-07-06 22:27:44,5,3,2024-06-25 22:27:44,2024-06-25 22:27:44
164,94,6,2024-06-26 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
165,12,8,2024-07-18 22:27:44,2,2,2024-06-25 22:27:44,2024-06-25 22:27:44
166,66,11,2024-07-13 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
167,95,3,2024-07-11 22:27:44,6,1,2024-06-25 22:27:44,2024-06-25 22:27:44
168,27,23,2024-07-17 22:27:44,7,1,2024-06-25 22:27:44,2024-06-25 22:27:44
169,36,18,2024-07-15 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
170,95,27,2024-07-05 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
171,27,13,2024-07-01 22:27:44,9,2,2024-06-25 22:27:44,2024-06-25 22:27:44
172,31,28,2024-07-04 22:27:44,1,1,2024-06-25 22:27:44,2024-06-25 22:27:44
173,25,13,2024-06-30 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
174,39,28,2024-07-01 22:27:44,4,2,2024-06-25 22:27:44,2024-06-25 22:27:44
175,79,24,2024-07-03 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
176,8,10,2024-07-04 22:27:44,7,1,2024-06-25 22:27:44,2024-06-25 22:27:44
177,57,30,2024-07-21 22:27:44,8,3,2024-06-25 22:27:44,2024-06-25 22:27:44
178,55,29,2024-07-20 22:27:44,7,2,2024-06-25 22:27:44,2024-06-25 22:27:44
179,45,28,2024-07-24 22:27:44,4,3,2024-06-25 22:27:44,2024-06-25 22:27:44
180,52,16,2024-07-19 22:27:44,6,2,2024-06-25 22:27:44,2024-06-25 22:27:44
181,14,29,2024-06-28 22:27:44,9,1,2024-06-25 22:27:44,2024-06-25 22:27:44
182,47,9,2024-07-22 22:27:44,8,1,2024-06-25 22:27:44,2024-06-25 22:27:44
183,88,11,2024-07-23 22:27:44,9,2,2024-06-25 22:27:44,2024-06-25 22:27:44
184,41,27,2024-07-24 22:27:44,5,1,2024-06-25 22:27:44,2024-06-25 22:27:44
185,67,24,2024-07-17 22:27:44,5,1,2024-06-25 22:27:44,2024-06-25 22:27:44
186,15,13,2024-07-11 22:27:44,6,1,2024-06-25 22:27:44,2024-06-25 22:27:44
187,29,27,2024-07-01 22:27:44,7,3,2024-06-25 22:27:44,2024-06-25 22:27:44
188,35,23,2024-07-10 22:27:44,5,2,2024-06-25 22:27:44,2024-06-25 22:27:44
189,68,20,2024-06-26 22:27:44,5,1,2024-06-25 22:27:44,2024-06-25 22:27:44
190,11,8,2024-07-21 22:27:44,8,3,2024-06-25 22:27:44,2024-06-25 22:27:44
191,49,20,2024-07-14 22:27:44,5,1,2024-06-25 22:27:44,2024-06-25 22:27:44
192,1,7,2024-06-26 22:27:44,6,3,2024-06-25 22:27:44,2024-06-25 22:27:44
193,13,10,2024-06-28 22:27:44,7,1,2024-06-25 22:27:44,2024-06-25 22:27:44
194,47,32,2024-07-12 22:27:44,10,1,2024-06-25 22:27:44,2024-06-25 22:27:44
195,70,4,2024-07-07 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
196,83,9,2024-07-18 22:27:44,2,1,2024-06-25 22:27:44,2024-06-25 22:27:44
197,94,30,2024-07-17 22:27:44,10,3,2024-06-25 22:27:44,2024-06-25 22:27:44
198,75,17,2024-07-02 22:27:44,8,1,2024-06-25 22:27:44,2024-06-25 22:27:44
199,47,27,2024-07-18 22:27:44,5,3,2024-06-25 22:27:44,2024-06-25 22:27:44
200,22,11,2024-07-23 22:27:44,9,2,2024-06-25 22:27:44,2024-06-25 22:27:44
201,46,2,2024-07-21 22:27:44,4,3,2024-06-25 22:27:44,2024-06-25 22:27:44
202,33,3,2024-07-07 22:27:44,9,1,2024-06-25 22:27:44,2024-06-25 22:27:44
203,62,31,2024-07-24 22:27:44,1,1,2024-06-25 22:27:44,2024-06-25 22:27:44
204,79,13,2024-07-13 22:27:44,9,2,2024-06-25 22:27:44,2024-06-25 22:27:44
205,55,15,2024-07-15 22:27:44,1,1,2024-06-25 22:27:44,2024-06-25 22:27:44
206,20,4,2024-07-24 22:27:44,7,1,2024-06-25 22:27:44,2024-06-25 22:27:44
207,20,10,2024-07-20 22:27:44,5,2,2024-06-25 22:27:44,2024-06-25 22:27:44
208,63,12,2024-07-23 22:27:44,7,2,2024-06-25 22:27:44,2024-06-25 22:27:44
209,82,2,2024-07-18 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
210,81,26,2024-07-10 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
211,85,24,2024-06-29 22:27:44,5,1,2024-06-25 22:27:44,2024-06-25 22:27:44
212,74,18,2024-07-12 22:27:44,2,1,2024-06-25 22:27:44,2024-06-25 22:27:44
213,37,9,2024-07-03 22:27:44,7,1,2024-06-25 22:27:44,2024-06-25 22:27:44
214,51,22,2024-07-20 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
215,60,31,2024-06-26 22:27:44,4,2,2024-06-25 22:27:44,2024-06-25 22:27:44
216,50,32,2024-07-07 22:27:44,2,2,2024-06-25 22:27:44,2024-06-25 22:27:44
217,50,21,2024-07-18 22:27:44,10,2,2024-06-25 22:27:44,2024-06-25 22:27:44
218,63,20,2024-06-29 22:27:44,10,1,2024-06-25 22:27:44,2024-06-25 22:27:44
219,81,23,2024-06-26 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
220,15,17,2024-06-27 22:27:44,10,1,2024-06-25 22:27:44,2024-06-25 22:27:44
221,71,22,2024-07-04 22:27:44,5,2,2024-06-25 22:27:44,2024-06-25 22:27:44
222,34,22,2024-07-04 22:27:44,6,3,2024-06-25 22:27:44,2024-06-25 22:27:44
223,99,26,2024-06-25 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
224,75,31,2024-07-09 22:27:44,6,2,2024-06-25 22:27:44,2024-06-25 22:27:44
225,62,21,2024-07-06 22:27:44,10,3,2024-06-25 22:27:44,2024-06-25 22:27:44
226,87,1,2024-07-10 22:27:44,5,3,2024-06-25 22:27:44,2024-06-25 22:27:44
227,13,29,2024-06-26 22:27:44,6,2,2024-06-25 22:27:44,2024-06-25 22:27:44
228,99,12,2024-07-22 22:27:44,6,3,2024-06-25 22:27:44,2024-06-25 22:27:44
229,17,20,2024-07-11 22:27:44,10,3,2024-06-25 22:27:44,2024-06-25 22:27:44
230,93,27,2024-07-07 22:27:44,6,2,2024-06-25 22:27:44,2024-06-25 22:27:44
231,73,8,2024-07-23 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
232,57,14,2024-07-07 22:27:44,9,3,2024-06-25 22:27:44,2024-06-25 22:27:44
233,15,30,2024-07-01 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
234,29,20,2024-07-02 22:27:44,4,1,2024-06-25 22:27:44,2024-06-25 22:27:44
235,39,21,2024-06-26 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
236,90,13,2024-07-02 22:27:44,1,2,2024-06-25 22:27:44,2024-06-25 22:27:44
237,27,29,2024-07-16 22:27:44,9,1,2024-06-25 22:27:44,2024-06-25 22:27:44
238,95,24,2024-07-20 22:27:44,10,2,2024-06-25 22:27:44,2024-06-25 22:27:44
239,11,10,2024-07-01 22:27:44,2,1,2024-06-25 22:27:44,2024-06-25 22:27:44
240,78,25,2024-07-10 22:27:44,3,3,2024-06-25 22:27:44,2024-06-25 22:27:44
241,32,3,2024-07-09 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
242,50,19,2024-07-05 22:27:44,10,3,2024-06-25 22:27:44,2024-06-25 22:27:44
243,78,1,2024-07-18 22:27:44,10,1,2024-06-25 22:27:44,2024-06-25 22:27:44
244,35,2,2024-07-01 22:27:44,10,1,2024-06-25 22:27:44,2024-06-25 22:27:44
245,58,20,2024-07-04 22:27:44,8,3,2024-06-25 22:27:44,2024-06-25 22:27:44
246,61,2,2024-07-07 22:27:44,10,2,2024-06-25 22:27:44,2024-06-25 22:27:44
247,20,4,2024-07-22 22:27:44,3,2,2024-06-25 22:27:44,2024-06-25 22:27:44
248,36,28,2024-06-30 22:27:44,5,2,2024-06-25 22:27:44,2024-06-25 22:27:44
249,43,17,2024-07-03 22:27:44,9,1,2024-06-25 22:27:44,2024-06-25 22:27:44
250,1,4,2024-07-13 22:27:44,8,3,2024-06-25 22:27:44,2024-06-25 22:27:44
251,95,8,2024-07-03 22:27:44,8,3,2024-06-25 22:27:44,2024-06-25 22:27:44
252,66,10,2024-07-09 22:27:44,6,1,2024-06-25 22:27:44,2024-06-25 22:27:44
253,51,28,2024-07-20 22:27:44,7,2,2024-06-25 22:27:44,2024-06-25 22:27:44
254,89,26,2024-07-03 22:27:44,1,2,2024-06-25 22:27:44,2024-06-25 22:27:44
255,18,16,2024-07-19 22:27:44,7,3,2024-06-25 22:27:44,2024-06-25 22:27:44
256,51,17,2024-06-26 22:27:44,8,2,2024-06-25 22:27:44,2024-06-25 22:27:44
257,97,18,2024-07-22 22:27:44,9,2,2024-06-25 22:27:44,2024-06-25 22:27:44
258,4,20,2024-07-24 22:27:44,1,2,2024-06-25 22:27:44,2024-06-25 22:27:44
259,63,1,2024-07-03 22:27:44,4,3,2024-06-25 22:27:44,2024-06-25 22:27:44
260,92,8,2024-07-09 22:27:44,8,1,2024-06-25 22:27:44,2024-06-25 22:27:44
261,53,7,2024-07-08 22:27:44,7,3,2024-06-25 22:27:44,2024-06-25 22:27:44
262,58,5,2024-07-24 22:27:44,6,2,2024-06-25 22:27:44,2024-06-25 22:27:44
263,35,1,2024-07-24 22:27:44,10,3,2024-06-25 22:27:44,2024-06-25 22:27:44
264,88,5,2024-06-28 22:27:44,1,1,2024-06-25 22:27:44,2024-06-25 22:27:44
265,12,12,2024-07-10 22:27:44,4,2,2024-06-25 22:27:44,2024-06-25 22:27:44
266,19,17,2024-06-25 22:27:44,6,3,2024-06-25 22:27:44,2024-06-25 22:27:44
267,4,31,2024-07-12 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
268,85,22,2024-07-21 22:27:44,5,2,2024-06-25 22:27:44,2024-06-25 22:27:44
269,56,23,2024-07-21 22:27:44,3,3,2024-06-25 22:27:44,2024-06-25 22:27:44
270,11,4,2024-07-04 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
271,41,2,2024-07-23 22:27:44,8,3,2024-06-25 22:27:44,2024-06-25 22:27:44
272,41,28,2024-06-28 22:27:44,1,3,2024-06-25 22:27:44,2024-06-25 22:27:44
273,21,13,2024-07-07 22:27:44,9,3,2024-06-25 22:27:44,2024-06-25 22:27:44
274,40,1,2024-07-21 22:27:44,4,1,2024-06-25 22:27:44,2024-06-25 22:27:44
275,53,10,2024-07-21 22:27:44,5,3,2024-06-25 22:27:44,2024-06-25 22:27:44
276,85,21,2024-07-12 22:27:44,1,3,2024-06-25 22:27:44,2024-06-25 22:27:44
277,17,24,2024-07-02 22:27:44,1,1,2024-06-25 22:27:44,2024-06-25 22:27:44
278,34,28,2024-07-05 22:27:44,2,3,2024-06-25 22:27:44,2024-06-25 22:27:44
279,17,22,2024-07-18 22:27:44,10,2,2024-06-25 22:27:44,2024-06-25 22:27:44
280,1,30,2024-07-14 22:27:44,4,1,2024-06-25 22:27:44,2024-06-25 22:27:44
281,1,30,2024-07-12 22:27:44,1,3,2024-06-25 22:27:44,2024-06-25 22:27:44
282,60,21,2024-07-06 22:27:44,1,3,2024-06-25 22:27:44,2024-06-25 22:27:44
283,66,15,2024-07-03 22:27:44,1,1,2024-06-25 22:27:44,2024-06-25 22:27:44
284,99,12,2024-07-18 22:27:44,9,3,2024-06-25 22:27:44,2024-06-25 22:27:44
